"Lon" "Lat" "Smith2014" "Smith2014.name"
"1" -179.75 65.25 15 "Dry Grassland"
"2" -179.75 65.75 17 "Desert"
"3" -179.75 66.25 17 "Desert"
"4" -179.75 66.75 17 "Desert"
"5" -179.75 67.25 17 "Desert"
"6" -179.75 67.75 17 "Desert"
"7" -179.75 68.25 17 "Desert"
"8" -179.75 68.75 17 "Desert"
"9" -179.75 71.25 17 "Desert"
"10" -179.25 66.25 17 "Desert"
"11" -179.25 66.75 17 "Desert"
"12" -179.25 67.25 17 "Desert"
"13" -179.25 67.75 17 "Desert"
"14" -179.25 68.25 17 "Desert"
"15" -179.25 68.75 17 "Desert"
"16" -179.25 71.25 17 "Desert"
"17" -178.75 66.25 17 "Desert"
"18" -178.75 66.75 17 "Desert"
"19" -178.75 67.25 17 "Desert"
"20" -178.75 67.75 17 "Desert"
"21" -178.75 68.25 17 "Desert"
"22" -178.75 71.25 17 "Desert"
"23" -178.25 65.75 17 "Desert"
"24" -178.25 66.25 17 "Desert"
"25" -178.25 66.75 17 "Desert"
"26" -178.25 67.25 17 "Desert"
"27" -178.25 67.75 17 "Desert"
"28" -178.25 68.25 17 "Desert"
"29" -178.25 71.25 17 "Desert"
"30" -177.75 65.75 17 "Desert"
"31" -177.75 66.25 17 "Desert"
"32" -177.75 66.75 17 "Desert"
"33" -177.75 67.25 17 "Desert"
"34" -177.75 67.75 17 "Desert"
"35" -177.75 68.25 17 "Desert"
"36" -177.75 71.25 17 "Desert"
"37" -177.25 65.75 17 "Desert"
"38" -177.25 66.25 17 "Desert"
"39" -177.25 66.75 17 "Desert"
"40" -177.25 67.25 17 "Desert"
"41" -177.25 67.75 17 "Desert"
"42" -177.25 68.25 17 "Desert"
"43" -176.75 65.75 17 "Desert"
"44" -176.75 66.25 17 "Desert"
"45" -176.75 66.75 17 "Desert"
"46" -176.75 67.25 17 "Desert"
"47" -176.75 67.75 17 "Desert"
"48" -176.25 65.75 17 "Desert"
"49" -176.25 66.25 17 "Desert"
"50" -176.25 66.75 17 "Desert"
"51" -176.25 67.25 17 "Desert"
"52" -176.25 67.75 17 "Desert"
"53" -175.75 65.25 17 "Desert"
"54" -175.75 65.75 17 "Desert"
"55" -175.75 66.25 17 "Desert"
"56" -175.75 66.75 17 "Desert"
"57" -175.75 67.25 17 "Desert"
"58" -175.75 67.75 17 "Desert"
"59" -175.25 64.75 17 "Desert"
"60" -175.25 65.25 17 "Desert"
"61" -175.25 65.75 17 "Desert"
"62" -175.25 66.25 17 "Desert"
"63" -175.25 66.75 17 "Desert"
"64" -175.25 67.25 17 "Desert"
"65" -174.75 64.75 17 "Desert"
"66" -174.75 65.25 17 "Desert"
"67" -174.75 65.75 17 "Desert"
"68" -174.75 66.25 17 "Desert"
"69" -174.75 66.75 17 "Desert"
"70" -174.25 64.75 17 "Desert"
"71" -174.25 65.25 17 "Desert"
"72" -174.25 65.75 17 "Desert"
"73" -174.25 66.25 17 "Desert"
"74" -173.75 64.75 17 "Desert"
"75" -173.75 65.25 17 "Desert"
"76" -173.75 65.75 17 "Desert"
"77" -173.75 66.25 17 "Desert"
"78" -173.75 66.75 17 "Desert"
"79" -173.25 64.25 13 "Arctic/Alpine Tundra"
"80" -173.25 64.75 17 "Desert"
"81" -173.25 65.25 17 "Desert"
"82" -173.25 65.75 17 "Desert"
"83" -173.25 66.25 17 "Desert"
"84" -173.25 66.75 17 "Desert"
"85" -172.75 64.75 15 "Dry Grassland"
"86" -172.75 65.25 17 "Desert"
"87" -172.75 65.75 17 "Desert"
"88" -172.75 66.25 17 "Desert"
"89" -172.75 66.75 17 "Desert"
"90" -172.25 65.25 15 "Dry Grassland"
"91" -172.25 65.75 17 "Desert"
"92" -172.25 66.25 17 "Desert"
"93" -172.25 66.75 17 "Desert"
"94" -171.75 65.75 17 "Desert"
"95" -171.75 66.25 17 "Desert"
"96" -171.75 66.75 17 "Desert"
"97" -171.25 65.75 17 "Desert"
"98" -171.25 66.25 17 "Desert"
"99" -170.75 65.75 17 "Desert"
"100" -170.75 66.25 17 "Desert"
"101" -170.25 66.25 15 "Dry Grassland"
"102" -169.75 63.25 13 "Arctic/Alpine Tundra"
"103" -168.25 53.25 15 "Dry Grassland"
"104" -167.75 65.75 13 "Arctic/Alpine Tundra"
"105" -167.25 65.75 13 "Arctic/Alpine Tundra"
"106" -166.75 53.75 15 "Dry Grassland"
"107" -166.75 60.25 4 "Boreal Evergreen Forest/Woodland"
"108" -166.75 65.25 13 "Arctic/Alpine Tundra"
"109" -166.75 65.75 13 "Arctic/Alpine Tundra"
"110" -166.25 60.25 4 "Boreal Evergreen Forest/Woodland"
"111" -166.25 64.75 13 "Arctic/Alpine Tundra"
"112" -166.25 65.25 13 "Arctic/Alpine Tundra"
"113" -166.25 65.75 13 "Arctic/Alpine Tundra"
"114" -165.75 60.25 4 "Boreal Evergreen Forest/Woodland"
"115" -165.75 61.25 4 "Boreal Evergreen Forest/Woodland"
"116" -165.75 61.75 4 "Boreal Evergreen Forest/Woodland"
"117" -165.75 64.75 13 "Arctic/Alpine Tundra"
"118" -165.75 65.25 13 "Arctic/Alpine Tundra"
"119" -165.75 65.75 13 "Arctic/Alpine Tundra"
"120" -165.75 66.25 13 "Arctic/Alpine Tundra"
"121" -165.75 68.25 17 "Desert"
"122" -165.75 68.75 17 "Desert"
"123" -165.25 61.25 4 "Boreal Evergreen Forest/Woodland"
"124" -165.25 61.75 4 "Boreal Evergreen Forest/Woodland"
"125" -165.25 62.25 4 "Boreal Evergreen Forest/Woodland"
"126" -165.25 64.75 13 "Arctic/Alpine Tundra"
"127" -165.25 65.25 13 "Arctic/Alpine Tundra"
"128" -165.25 65.75 13 "Arctic/Alpine Tundra"
"129" -165.25 66.25 13 "Arctic/Alpine Tundra"
"130" -165.25 68.25 15 "Dry Grassland"
"131" -165.25 68.75 17 "Desert"
"132" -164.75 60.25 4 "Boreal Evergreen Forest/Woodland"
"133" -164.75 60.75 4 "Boreal Evergreen Forest/Woodland"
"134" -164.75 61.25 4 "Boreal Evergreen Forest/Woodland"
"135" -164.75 61.75 4 "Boreal Evergreen Forest/Woodland"
"136" -164.75 62.25 4 "Boreal Evergreen Forest/Woodland"
"137" -164.75 62.75 4 "Boreal Evergreen Forest/Woodland"
"138" -164.75 64.75 4 "Boreal Evergreen Forest/Woodland"
"139" -164.75 65.25 4 "Boreal Evergreen Forest/Woodland"
"140" -164.75 65.75 13 "Arctic/Alpine Tundra"
"141" -164.75 66.25 13 "Arctic/Alpine Tundra"
"142" -164.75 67.75 13 "Arctic/Alpine Tundra"
